Alphabet cardinality, Epsilon percentage, Automaton's size (#states), Automaton's transitions percentage, Automaton's max distance, Automaton's safe-zone distance, SC min, SC avg, SC max, ESC min, ESC avg, ESC max
5, 0.600000, 1000, 0.100000, 100, 450, 103, 104.400000, 109, 7, 10.800000, 12
5, 0.800000, 1000, 0.100000, 100, 450, 102, 103.000000, 104, 8, 10.700000, 11
5, 1.000000, 1000, 0.100000, 100, 450, 102, 102.700000, 105, 8, 10.700000, 11
5, 0.000000, 1000, 0.100000, 200, 450, 102, 108.800000, 139, 7, 11.400000, 18
5, 0.300000, 1000, 0.100000, 200, 450, 102, 102.800000, 104, 8, 10.700000, 11
5, 0.600000, 1000, 0.100000, 200, 450, 102, 102.500000, 104, 7, 10.600000, 11
5, 0.800000, 1000, 0.100000, 200, 450, 101, 102.900000, 106, 7, 10.600000, 11
5, 1.000000, 1000, 0.100000, 200, 450, 102, 102.900000, 103, 7, 10.600000, 11
5, 0.000000, 1000, 0.100000, 500, 450, 100, 101.600000, 103, 9, 12.600000, 16
5, 0.300000, 1000, 0.100000, 500, 450, 95, 96.900000, 104, 20, 23.000000, 26
5, 0.600000, 1000, 0.100000, 500, 450, 90, 91.400000, 93, 17, 19.100000, 21
5, 0.800000, 1000, 0.100000, 500, 450, 86, 88.800000, 92, 12, 15.500000, 18
5, 1.000000, 1000, 0.100000, 500, 450, 84, 84.600000, 86, 10, 12.700000, 13
5, 0.000000, 1000, 0.100000, 100, 200, 106, 107.800000, 111, 7, 10.700000, 12
5, 0, 1000, 0.100000, 200, 100, 92, 94.000000, 99, 22, 30.000000, 35
5, 0, 1000, 0.100000, 200, 100, 94, 97.700000, 102, 22, 29.200000, 36
5, 0, 1000, 0.100000, 200, 100, 92, 95.600000, 98, 21, 28.000000, 33
5, 0, 1000, 0.100000, 200, 100, 96, 96.000000, 96, 25, 25.000000, 25
5, 0, 1000, 0.100000, 200, 100, 96, 96.000000, 96, 27, 27.000000, 27
5, 0, 1000, 0.100000, 200, 100, 93, 93.000000, 93, 28, 28.000000, 28
5, 0, 1000, 0.100000, 200, 100, 97, 97.000000, 97, 22, 22.000000, 22
5, 0, 1000, 0.100000, 200, 100, 96, 96.000000, 96, 26, 26.000000, 26
5, 0, 1000, 0.100000, 200, 100, 96, 96.000000, 96, 26, 26.000000, 26
5, 0, 1000, 0.100000, 200, 100, 97, 97.000000, 97, 22, 22.000000, 22
5, 0, 1000, 0.100000, 200, 100, 98, 98.000000, 98, 23, 23.000000, 23
5, 0, 1000, 0.100000, 200, 100, 97, 97.000000, 97, 23, 23.000000, 23
5, 0, 1000, 0.100000, 200, 100, 95, 95.000000, 95, 24, 24.000000, 24
5, 0, 1000, 0.100000, 200, 100, 96, 96.000000, 96, 25, 25.000000, 25
5, 0, 1000, 0.100000, 200, 100, 91, 95.250000, 102, 23, 28.960000, 41
